,Store,Date,Sales
321465,1,2014-10-01,4712
321466,2,2014-10-01,5565
321467,3,2014-10-01,8331
321468,4,2014-10-01,10560
321469,5,2014-10-01,6384
321470,6,2014-10-01,6808
321471,7,2014-10-01,9547
321472,8,2014-10-01,6826
321473,9,2014-10-01,8402
321474,10,2014-10-01,6982
321475,11,2014-10-01,9714
321476,12,2014-10-01,6381
321477,14,2014-10-01,5393
321478,15,2014-10-01,6747
321479,16,2014-10-01,9458
321480,17,2014-10-01,7472
321481,18,2014-10-01,7527
321482,19,2014-10-01,8372
321483,21,2014-10-01,4958
321484,23,2014-10-01,6370
321485,24,2014-10-01,10529
321486,25,2014-10-01,13040
321487,26,2014-10-01,8525
321488,27,2014-10-01,10718
321489,28,2014-10-01,6823
322400,1,2014-09-30,4919
322401,2,2014-09-30,8461
322402,3,2014-09-30,12260
322403,4,2014-09-30,12659
322404,5,2014-09-30,6633
322405,6,2014-09-30,7320
322406,7,2014-09-30,12636
322407,8,2014-09-30,9061
322408,9,2014-09-30,8663
322409,10,2014-09-30,6790
322410,11,2014-09-30,10627
322411,12,2014-09-30,11440
322412,14,2014-09-30,8444
322413,15,2014-09-30,10574
322414,16,2014-09-30,10286
322415,17,2014-09-30,11566
322416,18,2014-09-30,10042
322417,19,2014-09-30,9442
322418,21,2014-09-30,9405
322419,23,2014-09-30,6134
322420,24,2014-09-30,16957
322421,25,2014-09-30,15395
322422,26,2014-09-30,9090
322423,27,2014-09-30,18037
322424,28,2014-09-30,7463
323335,1,2014-09-29,5280
323336,2,2014-09-29,7514
323337,3,2014-09-29,10066
323338,4,2014-09-29,10201
323339,5,2014-09-29,6274
323340,6,2014-09-29,6397
323341,7,2014-09-29,11224
323342,8,2014-09-29,8630
323343,9,2014-09-29,8992
323344,10,2014-09-29,7302
323345,11,2014-09-29,9245
323346,12,2014-09-29,11440
323347,14,2014-09-29,7862
323348,15,2014-09-29,9761
323349,16,2014-09-29,9619
323350,17,2014-09-29,9894
323351,18,2014-09-29,9533
323352,19,2014-09-29,8991
323353,21,2014-09-29,8894
323354,23,2014-09-29,6873
323355,24,2014-09-29,12635
323356,25,2014-09-29,13633
323357,26,2014-09-29,9379
323358,27,2014-09-29,14696
323359,28,2014-09-29,8454
324270,1,2014-09-28,0
324271,2,2014-09-28,0
324272,3,2014-09-28,0
324273,4,2014-09-28,0
324274,5,2014-09-28,0
324275,6,2014-09-28,0
324276,7,2014-09-28,0
324277,8,2014-09-28,0
324278,9,2014-09-28,0
324279,10,2014-09-28,0
324280,11,2014-09-28,0
324281,12,2014-09-28,0
324282,14,2014-09-28,0
324283,15,2014-09-28,0
324284,16,2014-09-28,0
324285,17,2014-09-28,0
324286,18,2014-09-28,0
324287,19,2014-09-28,0
324288,21,2014-09-28,0
324289,23,2014-09-28,0
324290,24,2014-09-28,0
324291,25,2014-09-28,0
324292,26,2014-09-28,0
324293,27,2014-09-28,0
324294,28,2014-09-28,0
325205,1,2014-09-27,3914
325206,2,2014-09-27,2725
325207,3,2014-09-27,3846
325208,4,2014-09-27,9405
325209,5,2014-09-27,2000
325210,6,2014-09-27,2872
325211,7,2014-09-27,5945
325212,8,2014-09-27,3380
325213,9,2014-09-27,6313
325214,10,2014-09-27,4113
325215,11,2014-09-27,6280
325216,12,2014-09-27,6266
325217,14,2014-09-27,3792
325218,15,2014-09-27,5047
325219,16,2014-09-27,4385
325220,17,2014-09-27,2916
325221,18,2014-09-27,3967
325222,19,2014-09-27,3860
325223,21,2014-09-27,4516
